Dia: 1.8 m | Vel: 17.5 km/s | theta: 31.9 deg | Strength: 3.0e+05 Pa
Power (W)    Altitude (m)
2.1453e+08   9.1884e+04
2.1505e+08   9.1856e+04
2.1558e+08   9.1828e+04
2.1611e+08   9.1801e+04
2.1664e+08   9.1773e+04
2.1718e+08   9.1745e+04
2.1771e+08   9.1718e+04
2.1825e+08   9.1690e+04
2.1878e+08   9.1662e+04
2.1932e+08   9.1635e+04
2.1986e+08   9.1607e+04
2.2040e+08   9.1579e+04
2.2095e+08   9.1552e+04
2.2149e+08   9.1524e+04
2.2204e+08   9.1496e+04
2.2258e+08   9.1469e+04
2.2313e+08   9.1441e+04
2.2368e+08   9.1413e+04
2.2423e+08   9.1386e+04
2.2479e+08   9.1358e+04
2.2534e+08   9.1330e+04
2.2590e+08   9.1303e+04
2.2646e+08   9.1275e+04
2.2701e+08   9.1248e+04
2.2757e+08   9.1220e+04
2.2814e+08   9.1192e+04
2.2870e+08   9.1165e+04
2.2926e+08   9.1137e+04
2.2983e+08   9.1109e+04
2.3040e+08   9.1082e+04
2.3097e+08   9.1054e+04
2.3154e+08   9.1026e+04
2.3211e+08   9.0999e+04
2.3269e+08   9.0971e+04
2.3326e+08   9.0943e+04
2.3384e+08   9.0916e+04
2.3442e+08   9.0888e+04
2.3500e+08   9.0860e+04
2.3558e+08   9.0833e+04
2.3616e+08   9.0805e+04
2.3675e+08   9.0777e+04
2.3733e+08   9.0750e+04
2.3792e+08   9.0722e+04
2.3851e+08   9.0695e+04
2.3910e+08   9.0667e+04
2.3969e+08   9.0639e+04
2.4029e+08   9.0612e+04
2.4088e+08   9.0584e+04
2.4148e+08   9.0556e+04
2.4208e+08   9.0529e+04
2.4268e+08   9.0501e+04
2.4328e+08   9.0473e+04
2.4388e+08   9.0446e+04
2.4449e+08   9.0418e+04
2.4510e+08   9.0390e+04
2.4570e+08   9.0363e+04
2.4631e+08   9.0335e+04
2.4693e+08   9.0307e+04
2.4754e+08   9.0280e+04
2.4815e+08   9.0252e+04
2.4877e+08   9.0225e+04
2.4939e+08   9.0197e+04
2.5001e+08   9.0169e+04
2.5063e+08   9.0142e+04
2.5125e+08   9.0114e+04
2.5188e+08   9.0086e+04
2.5251e+08   9.0059e+04
2.5313e+08   9.0031e+04
2.5376e+08   9.0003e+04
2.5440e+08   8.9976e+04
2.5503e+08   8.9948e+04
2.5566e+08   8.9921e+04
2.5630e+08   8.9893e+04
2.5694e+08   8.9865e+04
2.5758e+08   8.9838e+04
2.5822e+08   8.9810e+04
2.5886e+08   8.9782e+04
2.5951e+08   8.9755e+04
2.6016e+08   8.9727e+04
2.6081e+08   8.9699e+04
2.6146e+08   8.9672e+04
2.6211e+08   8.9644e+04
2.6276e+08   8.9617e+04
2.6342e+08   8.9589e+04
2.6407e+08   8.9561e+04
2.6473e+08   8.9534e+04
2.6540e+08   8.9506e+04
2.6606e+08   8.9478e+04
2.6672e+08   8.9451e+04
2.6739e+08   8.9423e+04
2.6806e+08   8.9395e+04
2.6873e+08   8.9368e+04
2.6940e+08   8.9340e+04
2.7007e+08   8.9313e+04
2.7075e+08   8.9285e+04
2.7142e+08   8.9257e+04
2.7210e+08   8.9230e+04
2.7278e+08   8.9202e+04
2.7347e+08   8.9174e+04
2.7415e+08   8.9147e+04
2.7484e+08   8.9119e+04
2.7553e+08   8.9091e+04
2.7622e+08   8.9064e+04
2.7691e+08   8.9036e+04
2.7760e+08   8.9009e+04
2.7830e+08   8.8981e+04
2.7899e+08   8.8953e+04
2.7969e+08   8.8926e+04
2.8039e+08   8.8898e+04
2.8110e+08   8.8870e+04
2.8180e+08   8.8843e+04
2.8251e+08   8.8815e+04
2.8322e+08   8.8788e+04
2.8393e+08   8.8760e+04
2.8464e+08   8.8732e+04
2.8536e+08   8.8705e+04
