Bolide Luminosity and Fragmentation Simulation — v7
Dia: 1.3 m | Vel: 15.0 km/s | theta: 60.0 deg | Strength: 5.0e+05 → 1.0e+06 Pa

Initial area     = 5.3093e+00 m²
Initial mass     = 3.9112e+03 kg
Initial strength = 5.0000e+05 Pa

Initial altitude = 6.4681e+06 meters
Initial position = 0.0000e+00 meters
Initial velocity = 1.5000e+04 m/s
Initial time     = 0.0000e+00 s

Initial angle of entry = 60.000 deg
Initial angle of entry = 1.047 rad

Initial x-component velocity = 7.5000e+03 m/s
Initial z-component velocity = -1.2990e+04 m/s
Initial alpha angle          = 0.0000e+00 deg
Initial delta angle          = 3.0000e+01 deg
Initial gamma angle          = 3.0000e+01 deg
Initial flight path angle    = 6.0000e+01 deg
Initial downrange distance   = 0.0000e+00 meters
Initial Earth surface x-comp = 6.3781e+06 meters
Initial Earth surface z-comp = 6.3781e+06 meters

Setting total radiated energy to 0.0000e+00 J

KE = 4.3985e+11  v = 1.5000e+04  acc = 1.7306e+00  E_rad_ttl = 8.7124e+06  E_dep = 1.7433e+08  Fdrag = 3.3439e+03  theta_deg = 60.000
q_h = 3.7798e+07  q = 1.6799e+03  M = 3.9942e+01  T_stag = 6.5764e+04  p_stag = 1.6817e+03  T_surf = 5.2168e+03
T = 4.0964e+02  p = 1.7550e+00  rho = 1.4933e-05  a = 3.7554e+02  tau = 4.9977e-02  frag_stage = 0

time = 4.2000e-02  lum = 2.2892e+08  alt = 6.4676e+06  mass = 3.9095e+03  dia = 1.2998e+00  area = 5.3078e+00
KE = 4.3984e+11  v = 1.5000e+04  acc = 1.7285e+00  E_rad_ttl = 9.3991e+06  E_dep = 1.8807e+08  Fdrag = 3.3556e+03  theta_deg = 60.000
q_h = 3.7932e+07  q = 1.6859e+03  M = 3.9948e+01  T_stag = 6.5764e+04  p_stag = 1.6876e+03  T_surf = 5.2214e+03
T = 4.0953e+02  p = 1.7607e+00  rho = 1.4985e-05  a = 3.7549e+02  tau = 4.9977e-02  frag_stage = 0

time = 4.5000e-02  lum = 2.2972e+08  alt = 6.4676e+06  mass = 3.9094e+03  dia = 1.2998e+00  area = 5.3077e+00
KE = 4.3982e+11  v = 1.5000e+04  acc = 1.7263e+00  E_rad_ttl = 1.0088e+07  E_dep = 2.0186e+08  Fdrag = 3.3674e+03  theta_deg = 60.000
q_h = 3.8066e+07  q = 1.6918e+03  M = 3.9954e+01  T_stag = 6.5764e+04  p_stag = 1.6936e+03  T_surf = 5.2260e+03
T = 4.0941e+02  p = 1.7664e+00  rho = 1.5038e-05  a = 3.7543e+02  tau = 4.9977e-02  frag_stage = 0

time = 4.8000e-02  lum = 2.3053e+08  alt = 6.4675e+06  mass = 3.9093e+03  dia = 1.2998e+00  area = 5.3076e+00
KE = 4.3981e+11  v = 1.5000e+04  acc = 1.7241e+00  E_rad_ttl = 1.0780e+07  E_dep = 2.1570e+08  Fdrag = 3.3793e+03  theta_deg = 60.000
q_h = 3.8200e+07  q = 1.6978e+03  M = 3.9960e+01  T_stag = 6.5764e+04  p_stag = 1.6996e+03  T_surf = 5.2306e+03
T = 4.0929e+02  p = 1.7721e+00  rho = 1.5091e-05  a = 3.7538e+02  tau = 4.9977e-02  frag_stage = 0

time = 5.1000e-02  lum = 2.3134e+08  alt = 6.4675e+06  mass = 3.9092e+03  dia = 1.2998e+00  area = 5.3075e+00
KE = 4.3980e+11  v = 1.5000e+04  acc = 1.7220e+00  E_rad_ttl = 1.1474e+07  E_dep = 2.2959e+08  Fdrag = 3.3911e+03  theta_deg = 60.000
q_h = 3.8335e+07  q = 1.7038e+03  M = 3.9965e+01  T_stag = 6.5763e+04  p_stag = 1.7056e+03  T_surf = 5.2352e+03
T = 4.0918e+02  p = 1.7779e+00  rho = 1.5145e-05  a = 3.7533e+02  tau = 4.9977e-02  frag_stage = 0

time = 5.4000e-02  lum = 2.3215e+08  alt = 6.4674e+06  mass = 3.9090e+03  dia = 1.2998e+00  area = 5.3074e+00
KE = 4.3978e+11  v = 1.5000e+04  acc = 1.7198e+00  E_rad_ttl = 1.2170e+07  E_dep = 2.4352e+08  Fdrag = 3.4030e+03  theta_deg = 60.000
q_h = 3.8471e+07  q = 1.7098e+03  M = 3.9971e+01  T_stag = 6.5763e+04  p_stag = 1.7116e+03  T_surf = 5.2399e+03
T = 4.0906e+02  p = 1.7836e+00  rho = 1.5198e-05  a = 3.7527e+02  tau = 4.9977e-02  frag_stage = 0

time = 5.7000e-02  lum = 2.3297e+08  alt = 6.4674e+06  mass = 3.9089e+03  dia = 1.2997e+00  area = 5.3072e+00
KE = 4.3977e+11  v = 1.5000e+04  acc = 1.7176e+00  E_rad_ttl = 1.2869e+07  E_dep = 2.5751e+08  Fdrag = 3.4150e+03  theta_deg = 60.000
q_h = 3.8607e+07  q = 1.7159e+03  M = 3.9977e+01  T_stag = 6.5763e+04  p_stag = 1.7176e+03  T_surf = 5.2445e+03
T = 4.0894e+02  p = 1.7894e+00  rho = 1.5252e-05  a = 3.7522e+02  tau = 4.9977e-02  frag_stage = 0

time = 6.0000e-02  lum = 2.3379e+08  alt = 6.4674e+06  mass = 3.9088e+03  dia = 1.2997e+00  area = 5.3071e+00
KE = 4.3976e+11  v = 1.5000e+04  acc = 1.7154e+00  E_rad_ttl = 1.3571e+07  E_dep = 2.7154e+08  Fdrag = 3.4270e+03  theta_deg = 60.000
q_h = 3.8744e+07  q = 1.7219e+03  M = 3.9982e+01  T_stag = 6.5763e+04  p_stag = 1.7237e+03  T_surf = 5.2491e+03
T = 4.0883e+02  p = 1.7953e+00  rho = 1.5306e-05  a = 3.7517e+02  tau = 4.9977e-02  frag_stage = 0

time = 6.3000e-02  lum = 2.3461e+08  alt = 6.4673e+06  mass = 3.9087e+03  dia = 1.2997e+00  area = 5.3070e+00
KE = 4.3974e+11  v = 1.5000e+04  acc = 1.7133e+00  E_rad_ttl = 1.4274e+07  E_dep = 2.8562e+08  Fdrag = 3.4391e+03  theta_deg = 60.000
q_h = 3.8881e+07  q = 1.7280e+03  M = 3.9988e+01  T_stag = 6.5763e+04  p_stag = 1.7298e+03  T_surf = 5.2538e+03
T = 4.0871e+02  p = 1.8011e+00  rho = 1.5360e-05  a = 3.7511e+02  tau = 4.9977e-02  frag_stage = 0

time = 6.6000e-02  lum = 2.3544e+08  alt = 6.4673e+06  mass = 3.9085e+03  dia = 1.2997e+00  area = 5.3069e+00
KE = 4.3973e+11  v = 1.5000e+04  acc = 1.7111e+00  E_rad_ttl = 1.4981e+07  E_dep = 2.9976e+08  Fdrag = 3.4512e+03  theta_deg = 60.000
q_h = 3.9018e+07  q = 1.7341e+03  M = 3.9994e+01  T_stag = 6.5763e+04  p_stag = 1.7359e+03  T_surf = 5.2584e+03
T = 4.0859e+02  p = 1.8070e+00  rho = 1.5414e-05  a = 3.7506e+02  tau = 4.9977e-02  frag_stage = 0

time = 6.9000e-02  lum = 2.3626e+08  alt = 6.4672e+06  mass = 3.9084e+03  dia = 1.2997e+00  area = 5.3068e+00
KE = 4.3972e+11  v = 1.5000e+04  acc = 1.7089e+00  E_rad_ttl = 1.5690e+07  E_dep = 3.1394e+08  Fdrag = 3.4633e+03  theta_deg = 60.000
q_h = 3.9156e+07  q = 1.7403e+03  M = 3.9999e+01  T_stag = 6.5763e+04  p_stag = 1.7421e+03  T_surf = 5.2630e+03
T = 4.0848e+02  p = 1.8128e+00  rho = 1.5469e-05  a = 3.7501e+02  tau = 4.9977e-02  frag_stage = 0

time = 7.2000e-02  lum = 2.3710e+08  alt = 6.4672e+06  mass = 3.9083e+03  dia = 1.2997e+00  area = 5.3067e+00
KE = 4.3970e+11  v = 1.5000e+04  acc = 1.7067e+00  E_rad_ttl = 1.6401e+07  E_dep = 3.2817e+08  Fdrag = 3.4755e+03  theta_deg = 60.000
q_h = 3.9295e+07  q = 1.7464e+03  M = 4.0005e+01  T_stag = 6.5763e+04  p_stag = 1.7483e+03  T_surf = 5.2677e+03
T = 4.0836e+02  p = 1.8187e+00  rho = 1.5524e-05  a = 3.7495e+02  tau = 4.9977e-02  frag_stage = 0

time = 7.5000e-02  lum = 2.3793e+08  alt = 6.4672e+06  mass = 3.9082e+03  dia = 1.2997e+00  area = 5.3066e+00
KE = 4.3969e+11  v = 1.5000e+04  acc = 1.7044e+00  E_rad_ttl = 1.7115e+07  E_dep = 3.4245e+08  Fdrag = 3.4877e+03  theta_deg = 60.000
q_h = 3.9434e+07  q = 1.7526e+03  M = 4.0011e+01  T_stag = 6.5763e+04  p_stag = 1.7544e+03  T_surf = 5.2724e+03
T = 4.0824e+02  p = 1.8247e+00  rho = 1.5579e-05  a = 3.7490e+02  tau = 4.9977e-02  frag_stage = 0

time = 7.8000e-02  lum = 2.3877e+08  alt = 6.4671e+06  mass = 3.9080e+03  dia = 1.2997e+00  area = 5.3065e+00
KE = 4.3967e+11  v = 1.5000e+04  acc = 1.7022e+00  E_rad_ttl = 1.7831e+07  E_dep = 3.5679e+08  Fdrag = 3.5000e+03  theta_deg = 60.000
q_h = 3.9574e+07  q = 1.7588e+03  M = 4.0017e+01  T_stag = 6.5763e+04  p_stag = 1.7607e+03  T_surf = 5.2770e+03
T = 4.0813e+02  p = 1.8306e+00  rho = 1.5634e-05  a = 3.7485e+02  tau = 4.9977e-02  frag_stage = 0

time = 8.1000e-02  lum = 2.3961e+08  alt = 6.4671e+06  mass = 3.9079e+03  dia = 1.2996e+00  area = 5.3063e+00
KE = 4.3966e+11  v = 1.5000e+04  acc = 1.7000e+00  E_rad_ttl = 1.8550e+07  E_dep = 3.7117e+08  Fdrag = 3.5123e+03  theta_deg = 60.000
q_h = 3.9714e+07  q = 1.7651e+03  M = 4.0022e+01  T_stag = 6.5763e+04  p_stag = 1.7669e+03  T_surf = 5.2817e+03
T = 4.0801e+02  p = 1.8366e+00  rho = 1.5689e-05  a = 3.7479e+02  tau = 4.9977e-02  frag_stage = 0

time = 8.4000e-02  lum = 2.4046e+08  alt = 6.4670e+06  mass = 3.9078e+03  dia = 1.2996e+00  area = 5.3062e+00
KE = 4.3965e+11  v = 1.5000e+04  acc = 1.6978e+00  E_rad_ttl = 1.9271e+07  E_dep = 3.8560e+08  Fdrag = 3.5247e+03  theta_deg = 60.000
q_h = 3.9855e+07  q = 1.7713e+03  M = 4.0028e+01  T_stag = 6.5763e+04  p_stag = 1.7732e+03  T_surf = 5.2864e+03
T = 4.0789e+02  p = 1.8425e+00  rho = 1.5745e-05  a = 3.7474e+02  tau = 4.9977e-02  frag_stage = 0

time = 8.7000e-02  lum = 2.4130e+08  alt = 6.4670e+06  mass = 3.9077e+03  dia = 1.2996e+00  area = 5.3061e+00
KE = 4.3963e+11  v = 1.5000e+04  acc = 1.6955e+00  E_rad_ttl = 1.9995e+07  E_dep = 4.0009e+08  Fdrag = 3.5371e+03  theta_deg = 60.000
q_h = 3.9996e+07  q = 1.7776e+03  M = 4.0034e+01  T_stag = 6.5762e+04  p_stag = 1.7795e+03  T_surf = 5.2910e+03
T = 4.0778e+02  p = 1.8485e+00  rho = 1.5801e-05  a = 3.7469e+02  tau = 4.9977e-02  frag_stage = 0

time = 9.0000e-02  lum = 2.4215e+08  alt = 6.4670e+06  mass = 3.9075e+03  dia = 1.2996e+00  area = 5.3060e+00
KE = 4.3962e+11  v = 1.5000e+04  acc = 1.6933e+00  E_rad_ttl = 2.0722e+07  E_dep = 4.1462e+08  Fdrag = 3.5496e+03  theta_deg = 60.000
q_h = 4.0138e+07  q = 1.7839e+03  M = 4.0040e+01  T_stag = 6.5762e+04  p_stag = 1.7858e+03  T_surf = 5.2957e+03
T = 4.0766e+02  p = 1.8546e+00  rho = 1.5857e-05  a = 3.7463e+02  tau = 4.9977e-02  frag_stage = 0

time = 9.3000e-02  lum = 2.4301e+08  alt = 6.4669e+06  mass = 3.9074e+03  dia = 1.2996e+00  area = 5.3059e+00
KE = 4.3960e+11  v = 1.5000e+04  acc = 1.6911e+00  E_rad_ttl = 2.1451e+07  E_dep = 4.2921e+08  Fdrag = 3.5621e+03  theta_deg = 60.000
q_h = 4.0281e+07  q = 1.7902e+03  M = 4.0045e+01  T_stag = 6.5762e+04  p_stag = 1.7921e+03  T_surf = 5.3004e+03
T = 4.0754e+02  p = 1.8606e+00  rho = 1.5913e-05  a = 3.7458e+02  tau = 4.9977e-02  frag_stage = 0

time = 9.6000e-02  lum = 2.4387e+08  alt = 6.4669e+06  mass = 3.9073e+03  dia = 1.2996e+00  area = 5.3058e+00
KE = 4.3959e+11  v = 1.5000e+04  acc = 1.6888e+00  E_rad_ttl = 2.2182e+07  E_dep = 4.4385e+08  Fdrag = 3.5747e+03  theta_deg = 60.000
q_h = 4.0424e+07  q = 1.7966e+03  M = 4.0051e+01  T_stag = 6.5762e+04  p_stag = 1.7985e+03  T_surf = 5.3051e+03
T = 4.0743e+02  p = 1.8667e+00  rho = 1.5969e-05  a = 3.7453e+02  tau = 4.9977e-02  frag_stage = 0

time = 9.9000e-02  lum = 2.4473e+08  alt = 6.4669e+06  mass = 3.9071e+03  dia = 1.2996e+00  area = 5.3056e+00
KE = 4.3958e+11  v = 1.5000e+04  acc = 1.6865e+00  E_rad_ttl = 2.2916e+07  E_dep = 4.5854e+08  Fdrag = 3.5873e+03  theta_deg = 60.000
q_h = 4.0567e+07  q = 1.8030e+03  M = 4.0057e+01  T_stag = 6.5762e+04  p_stag = 1.8048e+03  T_surf = 5.3098e+03
