Dia: 1.2 m | Vel: 21.2 km/s | theta: 25.0 deg | Strength: 2.0e+05 Pa
Power (W)    Altitude (m)
1.4933e+09   8.1745e+04
1.4970e+09   8.1718e+04
1.5007e+09   8.1692e+04
1.5044e+09   8.1665e+04
1.5082e+09   8.1638e+04
1.5119e+09   8.1611e+04
1.5157e+09   8.1585e+04
1.5195e+09   8.1558e+04
1.5233e+09   8.1531e+04
1.5271e+09   8.1505e+04
1.5309e+09   8.1478e+04
1.5347e+09   8.1451e+04
1.5385e+09   8.1424e+04
1.5424e+09   8.1398e+04
1.5462e+09   8.1371e+04
1.5501e+09   8.1344e+04
1.5539e+09   8.1317e+04
1.5578e+09   8.1291e+04
1.5617e+09   8.1264e+04
1.5656e+09   8.1237e+04
1.5695e+09   8.1211e+04
1.5734e+09   8.1184e+04
1.5773e+09   8.1157e+04
1.5813e+09   8.1130e+04
1.5852e+09   8.1104e+04
1.5892e+09   8.1077e+04
1.5931e+09   8.1050e+04
1.5971e+09   8.1024e+04
1.6011e+09   8.0997e+04
1.6051e+09   8.0970e+04
1.6091e+09   8.0943e+04
1.6131e+09   8.0917e+04
1.6172e+09   8.0890e+04
1.6212e+09   8.0863e+04
1.6253e+09   8.0837e+04
1.6293e+09   8.0810e+04
1.6334e+09   8.0783e+04
1.6375e+09   8.0757e+04
1.6416e+09   8.0730e+04
1.6457e+09   8.0703e+04
1.6498e+09   8.0676e+04
1.6539e+09   8.0650e+04
1.6581e+09   8.0623e+04
1.6622e+09   8.0596e+04
1.6664e+09   8.0570e+04
1.6705e+09   8.0543e+04
1.6747e+09   8.0516e+04
1.6789e+09   8.0490e+04
1.6831e+09   8.0463e+04
1.6873e+09   8.0436e+04
1.6916e+09   8.0409e+04
1.6958e+09   8.0383e+04
1.7000e+09   8.0356e+04
1.7043e+09   8.0329e+04
1.7086e+09   8.0303e+04
1.7128e+09   8.0276e+04
1.7171e+09   8.0249e+04
1.7214e+09   8.0223e+04
1.7257e+09   8.0196e+04
1.7301e+09   8.0169e+04
1.7344e+09   8.0142e+04
1.7388e+09   8.0116e+04
1.7431e+09   8.0089e+04
1.7475e+09   8.0062e+04
1.7519e+09   8.0036e+04
1.7563e+09   8.0009e+04
1.7607e+09   7.9982e+04
1.7651e+09   7.9956e+04
1.7695e+09   7.9929e+04
1.7739e+09   7.9902e+04
1.7784e+09   7.9876e+04
1.7829e+09   7.9849e+04
1.7873e+09   7.9822e+04
1.7918e+09   7.9795e+04
1.7963e+09   7.9769e+04
1.8008e+09   7.9742e+04
1.8053e+09   7.9715e+04
1.8099e+09   7.9689e+04
1.8144e+09   7.9662e+04
1.8190e+09   7.9635e+04
1.8235e+09   7.9609e+04
