Dia: 0.3 m | Vel: 14.4 km/s | theta: 72.0 deg | Strength: 4.0e+06 Pa
Power (W)    Altitude (m)
1.4483e+08   5.6737e+04
1.4538e+08   5.6696e+04
1.4593e+08   5.6655e+04
1.4649e+08   5.6614e+04
1.4704e+08   5.6573e+04
1.4760e+08   5.6532e+04
1.4815e+08   5.6491e+04
1.4871e+08   5.6450e+04
1.4927e+08   5.6409e+04
1.4983e+08   5.6368e+04
1.5040e+08   5.6327e+04
1.5096e+08   5.6286e+04
1.5153e+08   5.6245e+04
1.5209e+08   5.6204e+04
1.5266e+08   5.6163e+04
1.5323e+08   5.6122e+04
1.5380e+08   5.6081e+04
1.5437e+08   5.6039e+04
1.5495e+08   5.5998e+04
1.5552e+08   5.5957e+04
1.5610e+08   5.5916e+04
1.5668e+08   5.5875e+04
1.5726e+08   5.5834e+04
1.5784e+08   5.5793e+04
1.5842e+08   5.5752e+04
1.5901e+08   5.5711e+04
1.5959e+08   5.5670e+04
1.6018e+08   5.5629e+04
1.6077e+08   5.5588e+04
1.6136e+08   5.5547e+04
1.6195e+08   5.5506e+04
1.6254e+08   5.5465e+04
1.6313e+08   5.5424e+04
1.6373e+08   5.5383e+04
1.6432e+08   5.5342e+04
1.6492e+08   5.5301e+04
1.6552e+08   5.5260e+04
1.6612e+08   5.5219e+04
1.6672e+08   5.5178e+04
1.6732e+08   5.5137e+04
1.6793e+08   5.5096e+04
1.6853e+08   5.5055e+04
1.6914e+08   5.5014e+04
1.6974e+08   5.4973e+04
1.7035e+08   5.4932e+04
1.7096e+08   5.4891e+04
1.7157e+08   5.4850e+04
1.7218e+08   5.4809e+04
1.7280e+08   5.4768e+04
1.7341e+08   5.4727e+04
1.7403e+08   5.4686e+04
1.7464e+08   5.4645e+04
1.7526e+08   5.4604e+04
1.7588e+08   5.4563e+04
1.7650e+08   5.4522e+04
1.7712e+08   5.4481e+04
1.7774e+08   5.4440e+04
1.7836e+08   5.4399e+04
1.7899e+08   5.4358e+04
1.7961e+08   5.4317e+04
1.8024e+08   5.4276e+04
1.8086e+08   5.4235e+04
1.8149e+08   5.4194e+04
1.8212e+08   5.4153e+04
1.8275e+08   5.4112e+04
1.8338e+08   5.4071e+04
1.8401e+08   5.4030e+04
1.8464e+08   5.3989e+04
1.8527e+08   5.3948e+04
1.8591e+08   5.3907e+04
1.8654e+08   5.3866e+04
1.8718e+08   5.3825e+04
1.8781e+08   5.3784e+04
1.8845e+08   5.3743e+04
1.8909e+08   5.3702e+04
1.8973e+08   5.3661e+04
1.9037e+08   5.3620e+04
1.9101e+08   5.3579e+04
1.9165e+08   5.3538e+04
1.9229e+08   5.3497e+04
1.9293e+08   5.3456e+04
1.9357e+08   5.3415e+04
1.9421e+08   5.3374e+04
1.9486e+08   5.3333e+04
1.9550e+08   5.3292e+04
1.9615e+08   5.3251e+04
1.9679e+08   5.3210e+04
1.9744e+08   5.3169e+04
1.9808e+08   5.3128e+04
1.9873e+08   5.3087e+04
1.9938e+08   5.3046e+04
2.0002e+08   5.3006e+04
2.0067e+08   5.2965e+04
2.0132e+08   5.2924e+04
2.0197e+08   5.2883e+04
2.0261e+08   5.2842e+04
2.0326e+08   5.2801e+04
2.0391e+08   5.2760e+04
2.0456e+08   5.2719e+04
2.0521e+08   5.2678e+04
2.0586e+08   5.2637e+04
2.0651e+08   5.2596e+04
2.0716e+08   5.2555e+04
2.0781e+08   5.2514e+04
2.0846e+08   5.2473e+04
2.0911e+08   5.2432e+04
2.0976e+08   5.2391e+04
2.1040e+08   5.2350e+04
2.1105e+08   5.2309e+04
2.1170e+08   5.2268e+04
2.1235e+08   5.2227e+04
2.1300e+08   5.2186e+04
2.1365e+08   5.2145e+04
2.1430e+08   5.2104e+04
2.1495e+08   5.2063e+04
2.1559e+08   5.2022e+04
2.1624e+08   5.1981e+04
2.1689e+08   5.1940e+04
2.1753e+08   5.1899e+04
2.1818e+08   5.1858e+04
2.1882e+08   5.1817e+04
2.1947e+08   5.1776e+04
2.2011e+08   5.1735e+04
2.2076e+08   5.1695e+04
2.2140e+08   5.1654e+04
2.2204e+08   5.1613e+04
2.2268e+08   5.1572e+04
2.2332e+08   5.1531e+04
2.2396e+08   5.1490e+04
2.2460e+08   5.1449e+04
2.2524e+08   5.1408e+04
2.2588e+08   5.1367e+04
2.2651e+08   5.1326e+04
2.2715e+08   5.1285e+04
2.2778e+08   5.1244e+04
2.2842e+08   5.1203e+04
2.2905e+08   5.1162e+04
2.2968e+08   5.1121e+04
2.3031e+08   5.1080e+04
2.3094e+08   5.1039e+04
2.3156e+08   5.0998e+04
2.3219e+08   5.0957e+04
2.3281e+08   5.0916e+04
2.3343e+08   5.0876e+04
2.3405e+08   5.0835e+04
2.3467e+08   5.0794e+04
2.3529e+08   5.0753e+04
2.3590e+08   5.0712e+04
2.3652e+08   5.0671e+04
2.3713e+08   5.0630e+04
2.3774e+08   5.0589e+04
2.3835e+08   5.0548e+04
2.3896e+08   5.0507e+04
2.3956e+08   5.0466e+04
2.4016e+08   5.0425e+04
2.4076e+08   5.0384e+04
2.4136e+08   5.0343e+04
2.4195e+08   5.0302e+04
2.4255e+08   5.0262e+04
2.4314e+08   5.0221e+04
2.4373e+08   5.0180e+04
2.4431e+08   5.0139e+04
2.4490e+08   5.0098e+04
2.4548e+08   5.0057e+04
2.4606e+08   5.0016e+04
2.4663e+08   4.9975e+04
