time_seconds,energy
1773752200.666,9.684021806840009e-15
1773752200.667,9.484045798322741e-15
1773752200.67,9.284069789805473e-15
1773752200.672,8.984105777029572e-15
1773752200.674,9.084093781288206e-15
1773752200.675,8.484165755736402e-15
1773752200.677,8.884117772770938e-15
1773752200.68,8.784129768512304e-15
1773752200.682,8.084213738701867e-15
1773752200.683,8.1842017429605e-15
1773752200.685,8.1842017429605e-15
1773752200.687,7.484285713150064e-15
1773752200.69,6.984345691856894e-15
1773752200.691,7.784249725925965e-15
1773752200.693,7.084333696115528e-15
1773752200.695,6.6843816790809925e-15
1773752200.697,6.984345691856894e-15
1773752200.7,6.6843816790809925e-15
1773752200.701,6.5843936748223586e-15
1773752200.703,6.6843816790809925e-15
1773752200.705,6.084453653529189e-15
1773752200.708,6.384417666305091e-15
1773752200.709,6.184441657787823e-15
1773752200.711,5.984465649270555e-15
1773752200.713,5.684501636494654e-15
1773752200.715,5.284549619460118e-15
1773752200.717,5.384537623718752e-15
1773752200.719,5.384537623718752e-15
1773752200.721,4.9845856066842165e-15
1773752200.723,4.384657581132413e-15
1773752200.725,4.784609598166949e-15
1773752200.727,4.684621593908315e-15
1773752200.729,4.684621593908315e-15
1773752200.731,4.1846815726151454e-15
1773752200.733,4.384657581132413e-15
1773752200.735,3.984705564097878e-15
1773752200.737,3.7847299790970835e-15
1773752200.739,3.984705564097878e-15
1773752200.741,4.284669576873779e-15
1773752200.743,3.984705564097878e-15
1773752200.745,3.584753970579816e-15
1773752200.747,2.9848259450280124e-15
1773752200.749,2.8848379407693785e-15
1773752200.751,2.6848619322521108e-15
1773752200.753,3.0848139492866463e-15
1773752200.755,2.2849099152175752e-15
1773752200.757,1.684981889665772e-15
1773752200.759,1.784969893924406e-15
1773752200.811,1.584993885407138e-15
1773752200.813,1.684981889665772e-15
1773752200.815,1.8849578981830397e-15
1773752200.817,2.0849339067003075e-15
1773752200.819,1.584993885407138e-15
1773752200.821,1.3850178768898703e-15
1773752200.825,1.684981889665772e-15
1773752200.827,2.0849339067003075e-15
1773752200.828,2.0849339067003075e-15
1773752200.831,1.9849459024416736e-15
1773752200.833,1.9849459024416736e-15
1773752200.835,1.684981889665772e-15
1773752200.836,2.384897919476209e-15
1773752200.839,2.584873927993477e-15
1773752200.841,3.384777962062548e-15
1773752200.843,2.0849339067003075e-15
1773752200.844,2.7848499365107447e-15
1773752200.846,2.484885923734843e-15
1773752200.849,2.7848499365107447e-15
1773752200.851,2.484885923734843e-15
1773752200.852,3.0848139492866463e-15
1773752200.854,2.6848619322521108e-15
1773752200.856,2.9848259450280124e-15
1773752200.859,2.9848259450280124e-15
1773752200.86,3.284789957803914e-15
