Dia: 1.1 m | Vel: 33.5 km/s | theta: 22.5 deg | Strength: 1.0e+05 Pa
Power (W)    Altitude (m)
8.0429e+10   6.2527e+04
8.0676e+10   6.2489e+04
8.0924e+10   6.2452e+04
8.1171e+10   6.2414e+04
8.1419e+10   6.2376e+04
8.1668e+10   6.2338e+04
8.1917e+10   6.2300e+04
8.2166e+10   6.2262e+04
8.2416e+10   6.2225e+04
8.2666e+10   6.2187e+04
8.2916e+10   6.2149e+04
8.3167e+10   6.2111e+04
8.3418e+10   6.2073e+04
8.3669e+10   6.2036e+04
8.3921e+10   6.1998e+04
8.4173e+10   6.1960e+04
8.4425e+10   6.1922e+04
8.4678e+10   6.1884e+04
8.4931e+10   6.1847e+04
8.5185e+10   6.1809e+04
8.5438e+10   6.1771e+04
8.5692e+10   6.1733e+04
8.5947e+10   6.1695e+04
8.6201e+10   6.1658e+04
8.6456e+10   6.1620e+04
8.6712e+10   6.1582e+04
8.6967e+10   6.1544e+04
8.7223e+10   6.1506e+04
8.7479e+10   6.1469e+04
8.7736e+10   6.1431e+04
8.7992e+10   6.1393e+04
8.8249e+10   6.1355e+04
8.8506e+10   6.1317e+04
8.8764e+10   6.1280e+04
8.9021e+10   6.1242e+04
8.9279e+10   6.1204e+04
8.9537e+10   6.1166e+04
8.9796e+10   6.1129e+04
9.0054e+10   6.1091e+04
9.0313e+10   6.1053e+04
9.0572e+10   6.1015e+04
9.0831e+10   6.0977e+04
9.1091e+10   6.0940e+04
9.1350e+10   6.0902e+04
9.1610e+10   6.0864e+04
9.1870e+10   6.0826e+04
7.3141e+10   6.0789e+04
7.3347e+10   6.0751e+04
7.3554e+10   6.0713e+04
7.3761e+10   6.0675e+04
7.3968e+10   6.0638e+04
7.4175e+10   6.0600e+04
7.4382e+10   6.0562e+04
7.4590e+10   6.0524e+04
7.4797e+10   6.0487e+04
7.5004e+10   6.0449e+04
7.5212e+10   6.0411e+04
7.5420e+10   6.0373e+04
7.5627e+10   6.0336e+04
7.5835e+10   6.0298e+04
7.6043e+10   6.0260e+04
7.6251e+10   6.0222e+04
7.6458e+10   6.0185e+04
7.6666e+10   6.0147e+04
7.6874e+10   6.0109e+04
7.7082e+10   6.0071e+04
7.7290e+10   6.0034e+04
7.7498e+10   5.9996e+04
7.7706e+10   5.9958e+04
7.7914e+10   5.9920e+04
7.8122e+10   5.9883e+04
7.8330e+10   5.9845e+04
7.8538e+10   5.9807e+04
7.8746e+10   5.9770e+04
7.8953e+10   5.9732e+04
7.9161e+10   5.9694e+04
7.9369e+10   5.9656e+04
7.9576e+10   5.9619e+04
7.9784e+10   5.9581e+04
7.9991e+10   5.9543e+04
8.0199e+10   5.9506e+04
8.0406e+10   5.9468e+04
8.0613e+10   5.9430e+04
8.0820e+10   5.9392e+04
8.1027e+10   5.9355e+04
8.1234e+10   5.9317e+04
8.1440e+10   5.9279e+04
8.1647e+10   5.9242e+04
8.1853e+10   5.9204e+04
8.2059e+10   5.9166e+04
8.2265e+10   5.9129e+04
8.2471e+10   5.9091e+04
8.2676e+10   5.9053e+04
8.2882e+10   5.9015e+04
8.3087e+10   5.8978e+04
8.3292e+10   5.8940e+04
8.3496e+10   5.8902e+04
8.3701e+10   5.8865e+04
8.3905e+10   5.8827e+04
8.4109e+10   5.8789e+04
8.4312e+10   5.8752e+04
8.4516e+10   5.8714e+04
8.4719e+10   5.8676e+04
8.4921e+10   5.8639e+04
8.5124e+10   5.8601e+04
8.5326e+10   5.8563e+04
8.5527e+10   5.8526e+04
8.5729e+10   5.8488e+04
8.5930e+10   5.8450e+04
8.6130e+10   5.8413e+04
8.6331e+10   5.8375e+04
8.6530e+10   5.8337e+04
8.6730e+10   5.8300e+04
8.6929e+10   5.8262e+04
8.7128e+10   5.8224e+04
8.7326e+10   5.8187e+04
8.7523e+10   5.8149e+04
8.7721e+10   5.8111e+04
8.7917e+10   5.8074e+04
8.8114e+10   5.8036e+04
8.8309e+10   5.7998e+04
8.8505e+10   5.7961e+04
8.8699e+10   5.7923e+04
8.8894e+10   5.7885e+04
8.9087e+10   5.7848e+04
8.9280e+10   5.7810e+04
8.9473e+10   5.7772e+04
8.9665e+10   5.7735e+04
8.9856e+10   5.7697e+04
9.0047e+10   5.7660e+04
9.0237e+10   5.7622e+04
9.0426e+10   5.7584e+04
9.0615e+10   5.7547e+04
9.0803e+10   5.7509e+04
9.0990e+10   5.7471e+04
9.1177e+10   5.7434e+04
9.1363e+10   5.7396e+04
9.1548e+10   5.7359e+04
9.1732e+10   5.7321e+04
9.1916e+10   5.7283e+04
9.2099e+10   5.7246e+04
9.2281e+10   5.7208e+04
9.2462e+10   5.7170e+04
9.2643e+10   5.7133e+04
9.2823e+10   5.7095e+04
9.3001e+10   5.7058e+04
9.3179e+10   5.7020e+04
9.3356e+10   5.6982e+04
9.3532e+10   5.6945e+04
9.3708e+10   5.6907e+04
9.3882e+10   5.6870e+04
9.4055e+10   5.6832e+04
9.4228e+10   5.6794e+04
