Dia: 64.0 m | Vel: 20.0 km/s | theta: 45.0 deg | Strength: 1.0e+05 Pa
Power (W)    Altitude (m)
5.4915e+12   7.9369e+04
5.5143e+12   7.9327e+04
5.5371e+12   7.9284e+04
5.5600e+12   7.9242e+04
5.5830e+12   7.9200e+04
5.6062e+12   7.9157e+04
5.6294e+12   7.9115e+04
5.6528e+12   7.9073e+04
5.6762e+12   7.9030e+04
5.6998e+12   7.8988e+04
5.7234e+12   7.8946e+04
5.7472e+12   7.8904e+04
5.7711e+12   7.8861e+04
5.7950e+12   7.8819e+04
5.8191e+12   7.8777e+04
5.8433e+12   7.8734e+04
5.8676e+12   7.8692e+04
5.8920e+12   7.8650e+04
5.9166e+12   7.8607e+04
5.9412e+12   7.8565e+04
5.9659e+12   7.8523e+04
5.9908e+12   7.8481e+04
6.0158e+12   7.8438e+04
6.0408e+12   7.8396e+04
6.0660e+12   7.8354e+04
6.0913e+12   7.8311e+04
6.1167e+12   7.8269e+04
6.1423e+12   7.8227e+04
6.1679e+12   7.8185e+04
6.1937e+12   7.8142e+04
6.2196e+12   7.8100e+04
6.2456e+12   7.8058e+04
6.2717e+12   7.8015e+04
6.2979e+12   7.7973e+04
6.3243e+12   7.7931e+04
6.3507e+12   7.7888e+04
6.3773e+12   7.7846e+04
6.4040e+12   7.7804e+04
6.4308e+12   7.7762e+04
6.4578e+12   7.7719e+04
6.4849e+12   7.7677e+04
6.5121e+12   7.7635e+04
6.5394e+12   7.7592e+04
6.5668e+12   7.7550e+04
6.5944e+12   7.7508e+04
6.6221e+12   7.7466e+04
6.6499e+12   7.7423e+04
6.6778e+12   7.7381e+04
6.7059e+12   7.7339e+04
6.7341e+12   7.7296e+04
6.7624e+12   7.7254e+04
6.7909e+12   7.7212e+04
6.8195e+12   7.7170e+04
6.8482e+12   7.7127e+04
6.8770e+12   7.7085e+04
6.9060e+12   7.7043e+04
6.9351e+12   7.7000e+04
6.9643e+12   7.6958e+04
6.9937e+12   7.6916e+04
7.0232e+12   7.6874e+04
7.0528e+12   7.6831e+04
7.0826e+12   7.6789e+04
7.1125e+12   7.6747e+04
7.1425e+12   7.6704e+04
7.1727e+12   7.6662e+04
7.2030e+12   7.6620e+04
7.2335e+12   7.6578e+04
7.2641e+12   7.6535e+04
7.2948e+12   7.6493e+04
7.3257e+12   7.6451e+04
7.3567e+12   7.6408e+04
7.3879e+12   7.6366e+04
7.4192e+12   7.6324e+04
7.4506e+12   7.6282e+04
7.4822e+12   7.6239e+04
7.5140e+12   7.6197e+04
7.5458e+12   7.6155e+04
7.5779e+12   7.6112e+04
7.6100e+12   7.6070e+04
7.6423e+12   7.6028e+04
7.6748e+12   7.5986e+04
7.7074e+12   7.5943e+04
7.7402e+12   7.5901e+04
7.7731e+12   7.5859e+04
7.8062e+12   7.5816e+04
7.8394e+12   7.5774e+04
7.8728e+12   7.5732e+04
7.9063e+12   7.5690e+04
7.9400e+12   7.5647e+04
7.9738e+12   7.5605e+04
8.0078e+12   7.5563e+04
8.0419e+12   7.5521e+04
8.0762e+12   7.5478e+04
8.1107e+12   7.5436e+04
8.1453e+12   7.5394e+04
8.1801e+12   7.5351e+04
8.2150e+12   7.5309e+04
8.2501e+12   7.5267e+04
8.2854e+12   7.5225e+04
8.3208e+12   7.5182e+04
8.3564e+12   7.5140e+04
8.3921e+12   7.5098e+04
8.4280e+12   7.5055e+04
8.4641e+12   7.5013e+04
8.5004e+12   7.4971e+04
8.5368e+12   7.4929e+04
8.5734e+12   7.4886e+04
8.6101e+12   7.4844e+04
8.6470e+12   7.4802e+04
8.6841e+12   7.4760e+04
8.7214e+12   7.4717e+04
8.7588e+12   7.4675e+04
8.7964e+12   7.4633e+04
8.8342e+12   7.4590e+04
8.8722e+12   7.4548e+04
8.9103e+12   7.4506e+04
8.9486e+12   7.4464e+04
8.9871e+12   7.4421e+04
9.0258e+12   7.4379e+04
9.0646e+12   7.4337e+04
9.1037e+12   7.4295e+04
9.1429e+12   7.4252e+04
9.1823e+12   7.4210e+04
9.2218e+12   7.4168e+04
9.2616e+12   7.4126e+04
9.3015e+12   7.4083e+04
9.3417e+12   7.4041e+04
9.3820e+12   7.3999e+04
9.4225e+12   7.3956e+04
9.4632e+12   7.3914e+04
9.5041e+12   7.3872e+04
9.5452e+12   7.3830e+04
9.5864e+12   7.3787e+04
9.6279e+12   7.3745e+04
9.6695e+12   7.3703e+04
9.7114e+12   7.3661e+04
9.7534e+12   7.3618e+04
9.7957e+12   7.3576e+04
9.8381e+12   7.3534e+04
9.8807e+12   7.3492e+04
9.9236e+12   7.3449e+04
9.9666e+12   7.3407e+04
1.0010e+13   7.3365e+04
1.0053e+13   7.3322e+04
1.0097e+13   7.3280e+04
1.0141e+13   7.3238e+04
1.0185e+13   7.3196e+04
1.0229e+13   7.3153e+04
1.0274e+13   7.3111e+04
1.0318e+13   7.3069e+04
1.0363e+13   7.3027e+04
1.0408e+13   7.2984e+04
1.0453e+13   7.2942e+04
1.0499e+13   7.2900e+04
1.0545e+13   7.2858e+04
1.0591e+13   7.2815e+04
1.0637e+13   7.2773e+04
1.0683e+13   7.2731e+04
1.0730e+13   7.2689e+04
1.0777e+13   7.2646e+04
1.0824e+13   7.2604e+04
1.0871e+13   7.2562e+04
1.0918e+13   7.2519e+04
1.0966e+13   7.2477e+04
1.1014e+13   7.2435e+04
1.1062e+13   7.2393e+04
1.1111e+13   7.2350e+04
1.1159e+13   7.2308e+04
1.1208e+13   7.2266e+04
1.1257e+13   7.2224e+04
1.1306e+13   7.2181e+04
1.1356e+13   7.2139e+04
1.1406e+13   7.2097e+04
1.1456e+13   7.2055e+04
1.1506e+13   7.2012e+04
1.1556e+13   7.1970e+04
1.1607e+13   7.1928e+04
1.1658e+13   7.1886e+04
1.1709e+13   7.1843e+04
1.1761e+13   7.1801e+04
1.1812e+13   7.1759e+04
1.1864e+13   7.1717e+04
1.1917e+13   7.1674e+04
1.1969e+13   7.1632e+04
1.2022e+13   7.1590e+04
1.2075e+13   7.1548e+04
1.2128e+13   7.1505e+04
1.2181e+13   7.1463e+04
